Date,asset,vix,asset_ret,realized_vol,vol_z,ema_fast,ema_slow,core_risk_off,option_risk_off,condition_score,risk_off,risk_on,position,switch,strategy_ret,buy_hold_ret,strategy_equity,buy_hold_equity
2025-08-29,569.0064086914062,15.359999656677246,-0.011575546882512833,0.13933558653095096,-0.6111859714603005,557.5283250704327,517.9876379718513,False,False,0,False,True,1.0,0.0,-0.011575546882512833,-0.011575546882512833,0.5982014184169644,2.727997192585516
2025-09-02,564.2380981445312,17.170000076293945,-0.008380064748024774,0.128161505468275,-0.6993901777023606,557.7914534262798,518.4478415556591,False,False,0,False,True,1.0,0.0,-0.008380064748024774,-0.008380064748024774,0.59318845179827,2.70513639947922
2025-09-03,568.67724609375,16.350000381469727,0.007867508351202535,0.12817218086531515,-0.6947845132230472,558.2183472563767,518.9476366256899,False,False,0,False,True,1.0,0.0,0.007867508351202535,0.007867508351202535,0.5978553668966298,2.7264190826932646
2025-09-04,573.8245849609375,15.300000190734863,0.009051423988817309,0.12446097772475767,-0.721400165708391,558.8303565781241,519.4936759126078,False,False,0,False,True,1.0,0.0,0.009051423988817309,0.009051423988817309,0.6032668093064011,2.751097057781924
2025-09-05,574.6525268554688,15.180000305175781,0.0014428484178445888,0.12410042272389943,-0.7200926124837916,559.4508338439024,520.0425202005965,False,False,0,False,True,1.0,0.0,0.0014428484178445888,0.0014428484178445888,0.6041372318677469,2.7550664738190815
2025-09-08,577.4556884765625,15.109999656677246,0.004878011476662003,0.12092559865707435,-0.742006690719857,560.1569065745949,520.6137955068251,False,False,0,False,True,1.0,0.0,0.004878011476662003,0.004878011476662003,0.6070842202182766,2.768505719697338
2025-09-09,579.0917358398438,15.039999961853027,0.0028331998384107937,0.12053759621698922,-0.7409139361725744,560.8994488987223,521.19566555989,False,False,0,False,True,1.0,0.0,0.0028331998384107937,0.0028331998384107937,0.6088042111329007,2.7763494496550236
2025-09-10,579.28125,15.350000381469727,0.00032726103383495797,0.11207473164336999,-0.8062806482551792,561.6203038438705,521.7736315742195,False,False,0,False,True,1.0,0.0,0.00032726103383495797,0.00032726103383495797,0.6090034490284392,2.777258040646205
2025-09-11,582.6529541015625,14.710000038146973,0.005820495832659089,0.113915511992814,-0.7862835810780702,562.4451136578977,522.3793959774766,False,False,0,False,True,1.0,0.0,0.005820495832659089,0.005820495832659089,0.6125481510655842,2.793423059498005
2025-09-12,585.2266235351562,14.760000228881836,0.004417156757683172,0.11472600432286652,-0.7748420547440753,563.3385062021039,523.0047415253142,False,False,0,False,True,1.0,0.0,0.004417156757683172,0.004417156757683172,0.6152538722704699,2.8057620470423346
2025-09-15,590.234375,15.6899995803833,0.008556944034079583,0.11643634301458634,-0.7562143681647713,564.3932461549625,523.6736931021768,False,False,0,False,True,1.0,0.0,0.008556944034079583,0.008556944034079583,0.620518565222239,2.8297707958518203
2025-09-16,589.7356567382812,16.360000610351562,-0.0008449495367306437,0.11653108281237684,-0.75089622981315,565.3870661778378,524.3310260736804,False,False,0,False,True,1.0,0.0,-0.0008449495367306437,-0.0008449495367306437,0.6199942583480217,2.8273797823288116
